지역,도서관명,건물면적,열람석,PC 유무,관리자용 컴퓨터,이용자용 컴퓨터
경기 안성시,농협안성교육원 농업도서관,222,34,있다,4,1
경기 부천시,누리마루작은도서관,112,60,있다,1,0
경기 김포시,누리봄문고,200,60,있다,3,2
경기 부천시,누리작은도서관,154,65,있다,1,0
경기 군포시,누림과나눔작은도서관,58,12,있다,1,0
경기 안산시,뉴새마을도서관,311,38,있다,4,2
경기 안양시,느린소,78,33,없다,0,0
경기 안양시,느티나무,38,6,있다,0,1
경기 군포시,느티나무도서관,63,40,있다,1,0
경기 안산시,늘사랑 문고,33,10,없다,0,0
경기 화성시,늘푸른,115,40,있다,2,1
경기 가평군,늘푸른상상력도서관,33,10,있다,1,0
경기 시흥시,늘푸른세종작은도서관,46,12,있다,1,0
경기 여주시,늘푸른자연학교작은도서관,64,46,있다,1,0
경기 구리시,늘푸른작은도서관,80,50,있다,2,1
경기 시흥시,늠내골실버작은도서관,85,17,있다,1,3
경기 화성시,능동 주공1아파트 문고,39,10,없다,0,0
경기 화성시,능동 주공2아파트 문고,99,18,있다,1,0
경기 수원시,능실샘작은도서관,56,30,있다,1,0
경기 시흥시,다문화작은도서관,99,16,있다,1,3
경기 남양주시,다사랑도서관,60,30,없다,0,0
경기 평택시,다사리도서관,264,50,있다,3,2
경기 남양주시,다산어린이도서관,106,8,있다,2,0
경기 안산시,다솔어린이작은도서관,100,40,있다,1,1
경기 김포시,다울누림 작은도서관,66,80,있다,1,0
경기 화성시,다은 우남,191,72,있다,1,1
경기 남양주시,단비작은도서관,138,12,있다,1,4
경기 안양시,달안동주민센타,33,6,없다,0,0
경기 안양시,달팽이,156,30,있다,1,0
경기 군포시,당정동 벤티움 작은도서관,100,20,없다,0,0
경기 군포시,당정문화도서관,307,97,있다,2,2
경기 김포시,대곶작은도서관,277,57,있다,2,4
경기 고양시,대덕 작은도서관,118,54,있다,1,1
경기 의왕시,대명구름채아파트문고,130,20,있다,1,0
경기 파주시,대방열린도서관,41,26,있다,1,0
경기 수원시,대영교회문고,49,18,있다,1,0
경기 의왕시,대우이안아파트문고,102,30,있다,1,0
경기 수원시,대월새마을문고,56,28,있다,1,0
경기 성남시,대은작은도서관,99,20,있다,1,0
경기 수원시,대임문고창조교실,46,20,있다,1,0
경기 광주시,대주작은도서관,108,35,있다,1,2
경기 수원시,대추동이 작은도서관,49,60,있다,2,4
경기 평택시,대추리솔부엉이도서관,49,32,없다,0,0
경기 광명시,대한작은어린이도서관,66,30,있다,1,1
경기 고양시,대화마을작은도서관,99,30,있다,1,1
경기 용인시,더빛 Ark Kids 작은도서관,332,90,있다,2,1
경기 남양주시,덕소도서관,132,50,있다,1,0
경기 남양주시,덕소현대아파트도서관,76,30,있다,1,0
경기 하남시,덕풍시장작은도서관,66,15,있다,1,2
경기 용인시,데시앙도서관,90,30,있다,1,0
경기 남양주시,도농롯데아파트독서실,224,20,있다,1,0
경기 광명시,도덕파크 푸른솔 작은도서관,45,20,있다,1,0
경기 의왕시,도란도란위브도서관,51,12,있다,1,0
경기 양주시,도란도란작은도서관,48,13,있다,1,0
경기 부천시,도란도란작은도서관,152,50,있다,3,1
경기 동두천시,도심광장 지혜의 등대,218,80,있다,2,3
경기 광주시,도척작은도서관,315,35,있다,2,3
경기 성남시,도촌동작은도서관,113,30,있다,1,1
경기 성남시,독수리작은도서관,130,24,있다,2,1
경기 안양시,동그라미,136,24,있다,0,1
경기 안산시,동동도서관,35,14,있다,1,0
경기 동두천시,동두천초등학교지혜의등대,115,24,있다,3,1
경기 고양시,동산마을22단지 백송도서관,225,80,있다,1,0
경기 의왕시,동아에코빌도서관,47,20,있다,1,0
경기 양주시,동안작은도서관,61,24,있다,1,0
경기 고양시,동양아파트새마을문고,120,40,있다,2,0
경기 파주시,동양월드꿈나무도서관,129,28,있다,1,0
경기 이천시,동양작은도서관,105,60,있다,1,1
경기 남양주시,동원작은도서관,151,30,있다,1,0
경기 오산시,동인문고,33,12,없다,0,0
경기 용인시,동천작은도서관,56,20,있다,1,1
경기 화성시,동탄파라곤 북카페 작은도서관,132,30,없다,0,0
경기 군포시,동화나무어린이도서관,160,52,있다,2,1
경기 성남시,될성푸른나무 작은도서관,238,55,있다,1,0
경기 수원시,두견마을도서관,153,55,있다,2,0
경기 고양시,두근두근 도서관,50,26,있다,1,0
경기 평택시,두드림도서관,38,20,있다,1,1
경기 안양시,두란노,198,40,있다,1,1
경기 화성시,두루미 작은도서관,287,100,있다,1,1
경기 화성시,두산 위브 어린이 도서관,52,20,있다,1,0
경기 화성시,두산책마을작은도서관,39,24,있다,1,0
경기 의왕시,뒷동네도서관,50,30,있다,1,1
경기 성남시,드림랜드작은도서관,248,50,있다,1,0
경기 평택시,디사이플스 인문학도서관,326,36,없다,0,0
경기 부천시,뜰안에작은나무 작은도서관,75,27,있다,1,1
경기 성남시,래미안금광작은도서관,132,48,있다,1,0
경기 용인시,래미안도서관 글샘,111,32,있다,2,0
경기 수원시,래미안새마을문고,112,30,있다,1,0
경기 고양시,래미안휴레스트문고,78,25,있다,1,0
경기 안양시,럭키,73,15,있다,1,1
경기 수원시,로뎀나무문고,90,30,있다,1,2
경기 성남시,롯데캐슬,99,38,있다,0,1
경기 화성시,롯데캐슬,101,45,있다,1,1
경기 용인시,롯데캐슬에코 북카페,94,26,있다,1,0
경기 고양시,리슈빌도서관(세솔책방),103,30,있다,1,0
경기 성남시,마루아라 작은도서관,144,24,있다,1,0
경기 용인시,마북e편한세상 작은도서관,50,20,없다,0,0
경기 남양주시,마석10리 언덕위의 꿈터,66,24,있다,1,0
경기 김포시,마송휴먼시아 10단지 작은도서관,71,16,있다,1,0
경기 의정부시,마을도서관 나무(명칭변경),90,20,있다,1,0
경기 남양주시,마을사립문고,39,8,있다,1,0
경기 수원시,마중물어린이전문도서관,37,20,있다,1,0
경기 오산시,맑은누리도서관,126,50,있다,1,0
