지역,도서관명,연간 증가 장서 수,총 보유 장서 수,연간 증가 연속간행물 수,현재 총 보유 연속간행물 수
경기 시흥시,늘푸른세종작은도서관,3000,3000,2,2
경기 여주시,늘푸른자연학교작은도서관,5703,5703,0,0
경기 구리시,늘푸른작은도서관,30,6000,0,0
경기 시흥시,늠내골실버작은도서관,0,11111,10,10
경기 화성시,능동 주공1아파트 문고,552,1690,1,1
경기 화성시,능동 주공2아파트 문고,500,1500,0,0
경기 수원시,능실샘작은도서관,600,4000,0,0
경기 시흥시,다문화작은도서관,872,6899,12,10
경기 남양주시,다사랑도서관,100,2000,0,1
경기 평택시,다사리도서관,300,6000,5,20
경기 남양주시,다산어린이도서관,300,1500,0,2
경기 안산시,다솔어린이작은도서관,1584,7758,4,3
경기 김포시,다울누림 작은도서관,100,2350,0,0
경기 화성시,다은 우남,1298,14487,2,4
경기 남양주시,단비작은도서관,300,4700,2,2
경기 안양시,달안동주민센타,0,2302,0,0
경기 안양시,달팽이,1000,4000,4,10
경기 군포시,당정동 벤티움 작은도서관,161,1613,0,1
경기 군포시,당정문화도서관,4521,33568,2,31
경기 김포시,대곶작은도서관,398,14492,0,1
경기 고양시,대덕 작은도서관,4471,4471,7,7
경기 의왕시,대명구름채아파트문고,406,7915,0,2
경기 파주시,대방열린도서관,368,8000,1,1
경기 수원시,대영교회문고,100,2000,0,0
경기 의왕시,대우이안아파트문고,114,5921,0,0
경기 수원시,대월새마을문고,423,10196,0,0
경기 성남시,대은작은도서관,200,4500,2,2
경기 수원시,대임문고창조교실,200,2000,12,2
경기 광주시,대주작은도서관,1352,8838,0,10
경기 수원시,대추동이 작은도서관,200,6200,0,0
경기 평택시,대추리솔부엉이도서관,0,1500,0,0
경기 광명시,대한작은어린이도서관,1000,1000,10,20
경기 고양시,대화마을작은도서관,790,15202,3,6
경기 용인시,더빛 Ark Kids 작은도서관,65,5986,1,2
경기 남양주시,덕소도서관,600,8000,0,2
경기 남양주시,덕소현대아파트도서관,533,6030,5,5
경기 하남시,덕풍시장작은도서관,800,3000,1,6
경기 용인시,데시앙도서관,1040,8982,4,4
경기 남양주시,도농롯데아파트독서실,0,1000,0,0
경기 광명시,도덕파크 푸른솔 작은도서관,211,6500,0,0
경기 의왕시,도란도란위브도서관,263,3186,0,0
경기 양주시,도란도란작은도서관,162,8172,0,0
경기 부천시,도란도란작은도서관,1545,19320,1,13
경기 동두천시,도심광장 지혜의 등대,476,6868,0,5
경기 광주시,도척작은도서관,1253,8413,20,31
경기 성남시,도촌동작은도서관,528,9122,0,10
경기 성남시,독수리작은도서관,1247,7965,0,5
경기 안양시,동그라미,200,7129,0,1
경기 안산시,동동도서관,600,2100,0,2
경기 동두천시,동두천초등학교지혜의등대,423,8914,0,6
경기 고양시,동산마을22단지 백송도서관,5600,5600,0,0
경기 의왕시,동아에코빌도서관,431,6800,0,2
경기 양주시,동안작은도서관,410,8656,2,2
경기 고양시,동양아파트새마을문고,500,9900,0,2
경기 파주시,동양월드꿈나무도서관,1522,6800,1,10
경기 이천시,동양작은도서관,500,8125,0,11
경기 남양주시,동원작은도서관,583,7423,0,0
경기 오산시,동인문고,0,1252,0,0
경기 용인시,동천작은도서관,50,1100,1,1
경기 화성시,동탄파라곤 북카페 작은도서관,100,1310,0,0
경기 군포시,동화나무어린이도서관,298,16278,0,4
경기 성남시,될성푸른나무 작은도서관,4000,4000,2,2
경기 수원시,두견마을도서관,500,12000,0,2
경기 고양시,두근두근 도서관,1000,2000,1,1
경기 평택시,두드림도서관,30,3000,0,1
경기 안양시,두란노,500,10000,3,3
경기 화성시,두루미 작은도서관,500,3000,1,0
경기 화성시,두산 위브 어린이 도서관,1643,6741,1,2
경기 화성시,두산책마을작은도서관,397,6358,0,2
경기 의왕시,뒷동네도서관,1400,1400,5,5
경기 성남시,드림랜드작은도서관,0,3000,0,0
경기 평택시,디사이플스 인문학도서관,0,1000,0,0
경기 부천시,뜰안에작은나무 작은도서관,1700,6000,0,2
경기 성남시,래미안금광작은도서관,517,12488,0,0
경기 용인시,래미안도서관 글샘,890,4750,4,4
경기 수원시,래미안새마을문고,478,12972,0,0
경기 고양시,래미안휴레스트문고,300,5251,0,0
경기 안양시,럭키,183,5945,0,0
경기 수원시,로뎀나무문고,0,3500,0,0
경기 성남시,롯데캐슬,179,2250,8,8
경기 화성시,롯데캐슬,1639,9902,6,9
경기 용인시,롯데캐슬에코 북카페,158,2978,2,2
경기 고양시,리슈빌도서관(세솔책방),100,7197,0,0
경기 성남시,마루아라 작은도서관,0,1500,0,0
경기 용인시,마북e편한세상 작은도서관,0,2049,0,0
경기 남양주시,마석10리 언덕위의 꿈터,0,3360,0,0
경기 김포시,마송휴먼시아 10단지 작은도서관,0,1007,0,0
경기 의정부시,마을도서관 나무(명칭변경),200,4218,0,1
경기 남양주시,마을사립문고,100,1400,0,0
경기 수원시,마중물어린이전문도서관,100,3000,0,0
경기 오산시,맑은누리도서관,2000,3714,0,0
경기 광명시,맑은샘 작은도서관,843,4093,2,14
경기 의정부시,맑은샘도서관,319,5919,0,7
경기 구리시,맑은샘문고,50,1350,0,0
경기 화성시,맑은샘문고,900,2000,3,3
경기 안양시,맑은책내음,175,5934,0,0
경기 수원시,매교동새마을문고,548,10362,0,0
경기 수원시,매산동 새마을문고,380,8400,0,0
경기 김포시,매수리마을작은도서관,0,2500,0,0
경기 수원시,매탄1동 새마을문고,650,10930,0,0
경기 수원시,매탄2동새마을문고,510,13251,0,0
경기 수원시,매탄3동 새마을문고,561,14247,0,0
경기 수원시,매탄4동 새마을문고,279,14066,0,0
경기 의왕시,매화문고,290,3950,0,0
경기 시흥시,맹꽁이책방,1700,6700,0,0
경기 남양주시,먹갓교회문고,300,5000,0,5
경기 고양시,메가박스 어린이도서관,180,1762,0,6
경기 수원시,메가키즈박스도서관,421,2671,0,2
경기 화성시,메타하나두리 작은도서관,500,2000,1,2
경기 양주시,명성작은도서관,99,6694,0,1
경기 여주시,명품작은도서관,70,3070,1,4
경기 안양시,명학마을,3000,4500,3,3
경기 안산시,모두어린이작은도서관,800,9904,8,8
경기 의왕시,모란문고,229,2200,0,0
경기 시흥시,목감영어도서관,450,4500,0,0
경기 수원시,목양작은도서관,0,1300,0,0
경기 연천군,무등실작은도서관,2495,2495,0,0
경기 화성시,무럭무럭도서관,992,3339,0,0
경기 화성시,무지개 작은도서관,200,1500,0,0
경기 남양주시,무지개꿈문고,448,7031,0,5
경기 파주시,무지개도서관,385,5200,12,18
경기 오산시,무지개도서관,196,4159,0,6
경기 성남시,무지개뜨는언덕작은도서관,1100,4600,3,3
경기 평택시,무지개작은도서관,641,3441,0,0
경기 오산시,무지개작은도서관,0,1200,0,0
경기 부천시,무지개작은도서관,2801,3207,15,12
경기 광주시,문광마을문고,140,2150,1,1
경기 파주시,문발리도서관,500,4500,0,0
