지역,도서관명,상호대차 유무,순회사서 유무,지원 여부,지원인력,지원예산,지원장서,지원프로
경기 포천시,관인작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,0,0
경기 수원시,광교동 새마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 수원시,광교해모로 숲속작은도서관,그렇지 않다,그렇다,그렇지 않다,0,0,0,0
경기 수원시,광교호반 책마루도서관,그렇지 않다,그렇지 않다,그렇다,0,20000000,0,0
경기 광명시,광남새마을금고 소하지점 작은도서관,그렇지 않다,그렇지 않다,그렇다,1,0,0,0
경기 광명시,광남새마을금고 작은도서관,그렇지 않다,그렇지 않다,그렇다,0,5250000,279,8
경기 광명시,광명6동 작은도서관,그렇지 않다,그렇지 않다,그렇다,0,2400000,170,0
경기 광명시,광명드림스타트 새싹도서관,그렇지 않다,그렇지 않다, ,0,0,0,0
경기 광명시,광명역세권4단지 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 광명시,광명옹달샘도서관,그렇지 않다,그렇지 않다, ,0,0,0,0
경기 광명시,광명한우리독서 작은도서관,그렇지 않다,그렇다,그렇지 않다,0,0,0,0
경기 수원시,광민작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 수원시,광성꿈나무도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 고양시,광성북카페,그렇지 않다,그렇지 않다,그렇다,0,3000000,0,0
경기 광명시,광일 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 양주시,광적농협작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,39,0
경기 파주시,광탄작은도서관,그렇지 않다,그렇다, ,0,0,0,0
경기 구리시,교문2동작은도서관,그렇지 않다,그렇지 않다, ,0,0,0,0
경기 김포시,구래 작은도서관,그렇다,그렇지 않다,그렇다,0,0,0,0
경기 광명시,구름산햇빛 작은도서관,그렇다,그렇지 않다,그렇다,0,1200000,106,1
경기 안양시,구름울 ,그렇다,그렇지 않다,그렇다,0,1320000,359,0
경기 구리시,구리 한우리 독서문화원,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 성남시,구미1동작은도서관,그렇지 않다,그렇지 않다, ,0,0,0,0
경기 안산시,구세군다문화꿈꾸는작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 여주시,구세군작은도서관,그렇다,그렇지 않다,그렇다,0,0,243,0
경기 포천시,구세군포천교회작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 수원시,구운동새마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 양주시,국군병원작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,74,0
경기 군포시,군포경찰서작은도서관,그렇지 않다,그렇다, ,0,0,0,0
경기 군포시,군포새마을문고,그렇지 않다,그렇다,그렇다,0,0,10,0
경기 용인시,굿모닝 작은도서관,그렇다,그렇지 않다,그렇다,0,2000000,108,0
경기 군포시,궁내동작은도서관,그렇지 않다,그렇다, ,0,0,0,0
경기 남양주시,궁의문도서실,그렇지 않다,그렇지 않다,그렇다,0,0,148,0
경기 수원시,권선1동 새마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 수원시,권선2동 새마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 고양시,권율 작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,0,0
경기 안양시,귀인동주민센타,그렇다,그렇지 않다, ,0,0,0,0
경기 김포시,그루터기 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 용인시,그루터기도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 부천시,글마루작은도서관,그렇다,그렇지 않다, ,0,0,0,0
경기 양주시,글마루작은도서관,그렇지 않다,그렇지 않다,그렇다,0,1200000,92,0
경기 양주시,글벗작은도서관,그렇지 않다,그렇지 않다,그렇다,0,1200000,105,0
경기 의왕시,글빛도서관,그렇지 않다,그렇지 않다,그렇다,0,1000000,0,0
경기 수원시,글샘작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 파주시,글향기도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 고양시,글향기도서관,그렇지 않다,그렇지 않다,그렇다,0,2000000,0,0
경기 화성시,글향기도서실,그렇지 않다,그렇지 않다,그렇다,0,6250000,182,4
